on,is
ei,No
ja,and
se,it
hän,he
mitä,what
en,I do not
että,that
ole,be
olen,I am
niin,so
mutta,but
vain,only
sen,its
minä,I
oli,was
jos,if
tämä,this
sinä,you
nyt,now
voi,butter
olet,are
kun,when
sitä,the
kuin,than
he,they
täällä,here
minun,my
kaikki,all
hänen,his
et,not
ovat,are
hyvä,good
olla,be
minua,me
sinun,your
sinua,you
älä,area
kyllä,Yes
sitten,then
onko,whether
miksi,why
hänet,him
mitään,anything
hei,Hey
mikä,What
siitä,thence
kiitos,thank you
miten,how
ne,they
olisi,should
joka,which
minulle,to me
tässä,here
kanssa,with
tai,or
missä,where
pitää,keep
tiedä,know
minulla,me
tuo,that
jotain,something
minut,me
ollut,had been
sinulle,for you
me,we
sinut,thee
häntä,him
oletko,Are you
tämän,this
kuka,Who
meidän,our
olemme,are
vielä,yet
hyvin,very
tänne,here
anteeksi,Sorry
jo,already
tiedän,I know
koska,because
tehdä,make
ehkä,perhaps
täytyy,must
anna,let
tule,Come
haluan,I want
pois,off
emme,we do not
kuinka,how
siellä,there
herra,Mr.
takaisin,back
tätä,this
sinulla,you have
paljon,a lot
selvä,clear
eivät,not
saa,weather
tulee,comes
siinä,there