Spanish,English
que,that
de,of
no,No
a,a
la,the
el,the
es,it is
y,and
en,in
lo,it
un,a
por,by
qué,what
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,this
si,Yes
bien,right
pero,but
yo,me
eso,it's
las,the
sí,Yes
su,its
tu,your
aquí,here
del,of
al,to the
como,What
le,you
más,plus
esto,this
ya,Already
todo,all
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
estoy,am
tengo,I've got
nos,us
tú,your
nada,any
cuando,when
ha,he has
este,East
sé,HE
estás,are
así,So
puedo,Can I
cómo,What
quiero,I want
sólo,single
soy,am
tiene,have
gracias,Thank you
o,either
él,the
bueno,Okay
fue,it was
ser,be
hacer,do
son,are
todos,everybody
era,it was
eres,are
vez,time
tienes,you have
creo,I think
ella,she
he,He
ese,that
voy,I go
puede,can
sabes,you know
hola,hello
sus,their
porque,because
dios,god
quién,who
nunca,never
dónde,where
quieres,you want
casa,House
favor,favour
esa,this
dos,two
tan,so
señor,mister
tiempo,weather
verdad,TRUE
estaba,I was